record.id	node.id	part_age	cont_age	w	m	c
936	908	88	7	201728	0.007048623327306	3.49412244572196e-08
937	909	89	7	201728	0.00705803797707135	3.49878944770748e-08
938	910	90	7	201728	0.00717214646588448	3.55535496603569e-08
939	911	91	7	201728	0.00738286351714303	3.65981099160406e-08
940	912	92	7	201728	0.00768490081157756	3.80953601462244e-08
941	913	93	7	201728	0.00807497857428138	4.00290419489678e-08
942	914	94	7	201728	0.00855151761853984	4.23913270271843e-08
943	915	95	7	201728	0.00911470784591579	4.51831567552139e-08
944	916	96	7	201728	0.00976648408115436	4.84141223883366e-08
945	917	97	7	201728	0.0105104469265145	5.2102072724235e-08
946	918	98	7	201728	0.0113516285482592	5.62719530667988e-08
947	919	99	7	201728	0.0122962043040607	6.09543757141335e-08
948	920	100	7	201728	0.013351211699345	6.61842267773686e-08
949	921	101	7	201728	0.0145243266310291	7.19995569828139e-08
950	922	102	7	201728	0.0158236710263851	7.84406281050974e-08
951	923	103	7	201728	0.0172577786143515	8.55497432897344e-08
952	924	104	7	201728	0.0188356878504182	9.33717076975841e-08
953	925	105	7	201728	0.0205672297693842	1.0195525543992e-07
954	926	106	7	201728	0.0224634345918066	1.11355065195742e-07
955	927	107	7	201728	0.0245369250178691	1.21633709836359e-07
956	928	108	7	201728	0.0268022365978474	1.32863244556271e-07
957	929	109	7	201728	0.0292759894791496	1.45126058252447e-07
958	930	110	7	201728	0.0319769215477383	1.58515037811996e-07
959	931	111	7	201728	0.0349258282987988	1.73133270040841e-07
960	932	112	7	201728	0.0381454933572947	1.890936972423e-07
961	933	113	7	201728	0.041660726462003	2.06519305510405e-07
962	934	114	7	201728	0.0454985895860921	2.25544245648061e-07
963	935	115	7	201728	0.0496888110303003	2.46315885897348e-07
964	936	116	7	201728	0.0542642146241966	2.68996939563158e-07
965	937	117	7	201728	0.0592609330943214	2.93766522715347e-07
966	938	118	7	201728	0.0647183977667526	3.20820103142611e-07
967	939	119	7	201728	0.0706793253846885	3.50369435004999e-07
968	940	120	7	201728	0.077189840024396	3.82643163192001e-07
969	9	0	8	200332	0.050622022712531	2.52690647088488e-07
970	129	1	8	200332	0.0823495501841847	4.11065382386162e-07
971	248	2	8	200332	0.130120023019547	6.49521908729246e-07
972	366	3	8	200332	0.205106433444437	1.02383260509772e-06
973	483	4	8	200332	0.326856998314931	1.63157657446105e-06
974	599	5	8	200332	0.534048896237921	2.66581922128228e-06
975	714	6	8	200332	0.953569380349935	4.75994539239829e-06
976	828	7	8	200332	1.83973121908382	9.18341163210982e-06
977	941	8	8	200332	3.73895532821728	1.8663794741815e-05
978	942	9	8	200332	1.84176648900507	9.19357111697117e-06
979	943	10	8	200332	0.892724920085465	4.45622726317046e-06
980	944	11	8	200332	0.464760285087677	2.31995030792722e-06
981	945	12	8	200332	0.268324394754604	1.33939857214326e-06
982	946	13	8	200332	0.17019958851657	8.49587627121829e-07
983	947	14	8	200332	0.114127327531901	5.69690950681376e-07
984	948	15	8	200332	0.079247762737716	3.95582147324022e-07
985	949	16	8	200332	0.0592014864568033	2.95516874272724e-07
986	950	17	8	200332	0.0476189333598834	2.37700084658883e-07
987	951	18	8	200332	0.0412692475892359	2.06004270856558e-07
988	952	19	8	200332	0.037705328290049	1.88214205868503e-07
989	953	20	8	200332	0.0361561259030593	1.8048103100383e-07
990	954	21	8	200332	0.0359810251739752	1.79606978285922e-07
991	955	22	8	200332	0.0378496662692072	1.8893469974446e-07
992	956	23	8	200332	0.0416299708232463	2.07804897985576e-07
993	957	24	8	200332	0.0458252360253496	2.28746461001485e-07
994	958	25	8	200332	0.0511554805031586	2.55353515679765e-07
995	959	26	8	200332	0.0562818376303272	2.80942823065347e-07
996	960	27	8	200332	0.0602796658227401	3.00898837044207e-07
997	961	28	8	200332	0.0655169308712753	3.27041765026433e-07
998	962	29	8	200332	0.0722523755610876	3.60663176931731e-07
999	963	30	8	200332	0.0821506200684686	4.10072380191225e-07
1000	964	31	8	200332	0.0979348773727453	4.8886287449207e-07
1001	965	32	8	200332	0.120095117343334	5.99480449171046e-07
1002	966	33	8	200332	0.143767586311794	7.17646638139656e-07
1003	967	34	8	200332	0.163785463981976	8.17570153455147e-07
